id prodotto;id colore;id taglia;EAN13
1039926;1080797;1003369;8055161183217
1039926;1080797;1003398;8055161183224
1039926;1080797;1003400;8055161183231
1039926;1080797;1003402;8055161183248
1039926;1080797;1003404;8055161183255
1039926;1080797;1003406;8055161183262
1039926;1080797;1003408;8055161183279
1039926;1080794;1003369;8055161178176
1039926;1080794;1003398;8055161178183
1039926;1080794;1003400;8055161178190
1039926;1080794;1003402;8055161178206
1039926;1080794;1003404;8055161178213
1039926;1080794;1003406;8055161178220
1039926;1080794;1003408;8055161178237
1039926;1080795;1003369;8055161190888
1039926;1080795;1003398;8055161190895
1039926;1080795;1003400;8055161190901
1039926;1080795;1003402;8055161190918
1039926;1080795;1003404;8055161190925
1039926;1080795;1003406;8055161190932
1039926;1080795;1003408;8055161190949
1039926;1080796;1003369;8055161178985
1039926;1080796;1003398;8055161178992
1039926;1080796;1003400;8055161179005
1039926;1080796;1003402;8055161179012
1039926;1080796;1003404;8055161179029
1039926;1080796;1003406;8055161179036
1039926;1080796;1003408;8055161179043
1039924;1081697;1003369;8055161210876
1039924;1081697;1003398;8055161210883
1039924;1081697;1003400;8055161210890
1039924;1081697;1003402;8055161210906
1039924;1081697;1003404;8055161210913
1039924;1081697;1003406;8055161210920
1039924;1081697;1003408;8055161210937
1039924;1080790;1003369;8055161184139
1039924;1080790;1003398;8055161184146
1039924;1080790;1003400;8055161184153
1039924;1080790;1003402;8055161184160
1039924;1080790;1003404;8055161184177
1039924;1080790;1003406;8055161184184
1039924;1080790;1003408;8055161184191
1039924;1081698;1003369;8055161210807
1039924;1081698;1003398;8055161210814
1039924;1081698;1003400;8055161210821
1039924;1081698;1003402;8055161210838
1039924;1081698;1003404;8055161210845
1039924;1081698;1003406;8055161210852
1039924;1081698;1003408;8055161210869
1039924;1080789;1003369;8055161178398
1039924;1080789;1003398;8055161178404
1039924;1080789;1003400;8055161178411
1039924;1080789;1003402;8055161178428
1039924;1080789;1003404;8055161178435
1039924;1080789;1003406;8055161178442
1039924;1080789;1003408;8055161178459
1039924;1080788;1003369;8055161184467
1039924;1080788;1003398;8055161184474
1039924;1080788;1003400;8055161184481
1039924;1080788;1003402;8055161184498
1039924;1080788;1003404;8055161184504
1039924;1080788;1003406;8055161184511
1039924;1080788;1003408;8055161184528
1039319;1077913;1003367;8055161185341
1039319;1077913;1003368;8055161185358
1039319;1077913;1003369;8055161185365
1039319;1077913;1003370;8055161185372
1039319;1077913;1003398;8055161185389
1039319;1077913;1003399;8055161185396
1039319;1077913;1003400;8055161185402
1039319;1077913;1003401;8055161185419
1039319;1077913;1003402;8055161185426
1039319;1077913;1003403;8055161185433
1039319;1077913;1003404;8055161185440
1039319;1077913;1003405;8055161185457
1039319;1077913;1003406;8055161185464
1039164;1077941;1003367;8055161200839
1039164;1077941;1003368;8055161200846
1039164;1077941;1003369;8055161200853
1039164;1077941;1003370;8055161200860
1039164;1077941;1003398;8055161200877
1039164;1077941;1003399;8055161200884
1039164;1077941;1003400;8055161200891
1039164;1077941;1003401;8055161200907
1039164;1077941;1003402;8055161200914
1039164;1077941;1003403;8055161200921
1039164;1077941;1003404;8055161200938
1039164;1077941;1003405;8055161200945
1039164;1077941;1003406;8055161200952
1039164;1077938;1003367;8055161188939
1039164;1077938;1003368;8055161188946
1039164;1077938;1003369;8055161188953
1039164;1077938;1003370;8055161188960
1039164;1077938;1003398;8055161188977
1039164;1077938;1003399;8055161188984
1039164;1077938;1003400;8055161188991
1039164;1077938;1003401;8055161189004
1039164;1077938;1003402;8055161189011
1039164;1077938;1003403;8055161189028
1039164;1077938;1003404;8055161189035
1039164;1077938;1003405;8055161189042
1039164;1077938;1003406;8055161189059
1040610;1082149;1003367;8055161234292
1040610;1082149;1003369;8055161234308
1040610;1082149;1003398;8055161234315
1040610;1082149;1003400;8055161234322
1040610;1082149;1003402;8055161234339
1040610;1082149;1003404;8055161234346
1040610;1082149;1003406;8055161234353
1040610;1082150;1003367;8055161228895
1040610;1082150;1003369;8055161228901
1040610;1082150;1003398;8055161228918
1040610;1082150;1003400;8055161228925
1040610;1082150;1003402;8055161228932
1040610;1082150;1003404;8055161228949
1040610;1082150;1003406;8055161228956
1039410;1079610;1003367;8055161179692
1039410;1079610;1003369;8055161179708
1039410;1079610;1003398;8055161179715
1039410;1079610;1003400;8055161179722
1039410;1079610;1003402;8055161179739
1039410;1079610;1003404;8055161179746
1039410;1079610;1003406;8055161179753
1039410;1079611;1003367;8055161190956
1039410;1079611;1003369;8055161190963
1039410;1079611;1003398;8055161190970
1039410;1079611;1003400;8055161190987
1039410;1079611;1003402;8055161190994
1039410;1079611;1003404;8055161191007
1039410;1079611;1003406;8055161191014
1039410;1079613;1003367;8055161197818
1039410;1079613;1003369;8055161197825
1039410;1079613;1003398;8055161197832
1039410;1079613;1003400;8055161197849
1039410;1079613;1003402;8055161197856
1039410;1079613;1003404;8055161197863
1039410;1079613;1003406;8055161197870
1039410;1079614;1003367;8055161191977
1039410;1079614;1003369;8055161191984
1039410;1079614;1003398;8055161191991
1039410;1079614;1003400;8055161192004
1039410;1079614;1003402;8055161192011
1039410;1079614;1003404;8055161192028
1039410;1079614;1003406;8055161192035
1039410;1079617;1003367;8055161179623
1039410;1079617;1003369;8055161179630
1039410;1079617;1003398;8055161179647
1039410;1079617;1003400;8055161179654
1039410;1079617;1003402;8055161179661
1039410;1079617;1003404;8055161179678
1039410;1079617;1003406;8055161179685
1039305;1077792;1003367;8055161202345
1039305;1077792;1003369;8055161202352
1039305;1077792;1003398;8055161202369
1039305;1077792;1003400;8055161202376
1039305;1077792;1003402;8055161202383
1039305;1077792;1003404;8055161202390
1039305;1077792;1003406;8055161202406
1039305;1077796;1003367;8055161193469
1039305;1077796;1003369;8055161193476
1039305;1077796;1003398;8055161193483
1039305;1077796;1003400;8055161193490
1039305;1077796;1003402;8055161193506
1039305;1077796;1003404;8055161193513
1039305;1077796;1003406;8055161193520
1039305;1077798;1003367;8055161205209
1039305;1077798;1003369;8055161205216
1039305;1077798;1003398;8055161205223
1039305;1077798;1003400;8055161205230
1039305;1077798;1003402;8055161205247
1039305;1077798;1003404;8055161205254
1039305;1077798;1003406;8055161205261
1040762;1082717;1003367;8055161265951
1040762;1082717;1003369;8055161265968
1040762;1082717;1003398;8055161265975
1040762;1082717;1003399;8055161265982
1040762;1082717;1003400;8055161265999
1040762;1082717;1003401;8055161266002
1040762;1082717;1003402;8055161266019
1040762;1082717;1003403;8055161266026
1040762;1082717;1003404;8055161266033
1040762;1082717;1003405;8055161266040
1040762;1082717;1003406;8055161266057
1040762;1082717;1003407;8055161266064
1040762;1082717;1003408;8055161266071
1040762;1082904;1003369;8055161441591
1040762;1082904;1003398;8055161441607
1040762;1082904;1003399;8055161441614
1040762;1082904;1003400;8055161441621
1040762;1082904;1003401;8055161441638
1040762;1082904;1003402;8055161441645
1040762;1082904;1003403;8055161441652
1040762;1082904;1003404;8055161441669
1040762;1082904;1003406;8055161441676
1040762;1082907;1003369;8055161417572
1040762;1082907;1003398;8055161417589
1040762;1082907;1003399;8055161437297
1040762;1082907;1003400;8055161417596
1040762;1082907;1003401;8055161437303
1040762;1082907;1003402;8055161417602
1040762;1082907;1003403;8055161437310
1040762;1082907;1003404;8055161417619
1040762;1082907;1003406;8055161417626
1040762;1082906;1003369;8055161424228
1040762;1082906;1003398;8055161424235
1040762;1082906;1003399;8055161424242
1040762;1082906;1003400;8055161424259
1040762;1082906;1003401;8055161424266
1040762;1082906;1003402;8055161424273
1040762;1082906;1003403;8055161424280
1040762;1082906;1003404;8055161424297
1040762;1082906;1003406;8055161424303
1040762;1082903;1003369;8055161418258
1040762;1082903;1003398;8055161418265
1040762;1082903;1003399;8055161440808
1040762;1082903;1003400;8055161418272
1040762;1082903;1003401;8055161440815
1040762;1082903;1003402;8055161418289
1040762;1082903;1003403;8055161440822
1040762;1082903;1003404;8055161418296
1040762;1082903;1003406;8055161418302
1040657;1082276;1003367;8055161261502
1040657;1082276;1003369;8055161261519
1040657;1082276;1003398;8055161261526
1040657;1082276;1003399;8055161261533
1040657;1082276;1003400;8055161261540
1040657;1082276;1003401;8055161261557
1040657;1082276;1003402;8055161261564
1040657;1082276;1003403;8055161261571
1040657;1082276;1003404;8055161261588
1040657;1082276;1003405;8055161261595
1040657;1082276;1003406;8055161261601
1040657;1082276;1003407;8055161261618
1040657;1082276;1003408;8055161261625
1040657;1082277;1003367;8055161286888
1040657;1082277;1003369;8055161286895
1040657;1082277;1003398;8055161286901
1040657;1082277;1003399;8055161286918
1040657;1082277;1003400;8055161286925
1040657;1082277;1003401;8055161286932
1040657;1082277;1003402;8055161286949
1040657;1082277;1003403;8055161286956
1040657;1082277;1003404;8055161286963
1040657;1082277;1003405;8055161286970
1040657;1082277;1003406;8055161286987
1040657;1082277;1003407;8055161286994
1040657;1082277;1003408;8055161287007
1040657;1082274;1003367;8055161267504
1040657;1082274;1003369;8055161267511
1040657;1082274;1003398;8055161267528
1040657;1082274;1003399;8055161267535
1040657;1082274;1003400;8055161267542
1040657;1082274;1003401;8055161267559
1040657;1082274;1003402;8055161267566
1040657;1082274;1003403;8055161267573
1040657;1082274;1003404;8055161267580
1040657;1082274;1003405;8055161267597
1040657;1082274;1003406;8055161267603
1040657;1082274;1003407;8055161267610
1040657;1082274;1003408;8055161267627
1040757;1082761;1003369;8055161264695
1040757;1082761;1003398;8055161264701
1040757;1082761;1003400;8055161264718
1040757;1082761;1003402;8055161264725
1040757;1082761;1003404;8055161264732
1040757;1082761;1003406;8055161264749
1040757;1082761;1003408;8055161264756
1040757;1082696;1003369;8055161300799
1040757;1082696;1003398;8055161300805
1040757;1082696;1003400;8055161300812
1040757;1082696;1003402;8055161300829
1040757;1082696;1003404;8055161300836
1040757;1082696;1003406;8055161300843
1040757;1082696;1003408;8055161300850
1040757;1082697;1003369;8055161266088
1040757;1082697;1003398;8055161266095
1040757;1082697;1003400;8055161266101
1040757;1082697;1003402;8055161266118
1040757;1082697;1003404;8055161266125
1040757;1082697;1003406;8055161266132
1040757;1082697;1003408;8055161266149
1040757;1082762;1003369;8055161298058
1040757;1082762;1003398;8055161298065
1040757;1082762;1003400;8055161298072
1040757;1082762;1003402;8055161298089
1040757;1082762;1003404;8055161298096
1040757;1082762;1003406;8055161298102
1040757;1082762;1003408;8055161298119
1040758;1082698;1003369;8055161306548
1040758;1082698;1003398;8055161306555
1040758;1082698;1003400;8055161306562
1040758;1082698;1003402;8055161306579
1040758;1082698;1003404;8055161306586
1040758;1082698;1003406;8055161306593
1040758;1082698;1003408;8055161306609
1040758;1082699;1003369;8055161272638
1040758;1082699;1003398;8055161272645
1040758;1082699;1003400;8055161272652
1040758;1082699;1003402;8055161272669
1040758;1082699;1003404;8055161272676
1040758;1082699;1003406;8055161272683
1040758;1082699;1003408;8055161272690
1040758;1082700;1003369;8055161305237
1040758;1082700;1003398;8055161305244
1040758;1082700;1003400;8055161305251
1040758;1082700;1003402;8055161305268
1040758;1082700;1003404;8055161305275
1040758;1082700;1003406;8055161305282
1040758;1082700;1003408;8055161305299
1040758;1082701;1003369;8055161285577
1040758;1082701;1003398;8055161285584
1040758;1082701;1003400;8055161285591
1040758;1082701;1003402;8055161285607
1040758;1082701;1003404;8055161285614
1040758;1082701;1003406;8055161285621
1040758;1082701;1003408;8055161285638
1040758;1082702;1003369;8055161252197
1040758;1082702;1003398;8055161252203
1040758;1082702;1003400;8055161252210
1040758;1082702;1003402;8055161252227
1040758;1082702;1003404;8055161252234
1040758;1082702;1003406;8055161252241
1040758;1082702;1003408;8055161252258
1040660;1082292;1003367;8055161274656
1040660;1082292;1003368;8055161274663
1040660;1082292;1003369;8055161274670
1040660;1082292;1003370;8055161274687
1040660;1082292;1003398;8055161274694
1040660;1082292;1003399;8055161274700
1040660;1082292;1003400;8055161274717
1040660;1082292;1003401;8055161274724
1040660;1082292;1003402;8055161274731
1040660;1082292;1003403;8055161274748
1040660;1082292;1003404;8055161274755
1040660;1082292;1003405;8055161274762
1040660;1082292;1003406;8055161274779
1040660;1082292;1003407;8055161274786
1040660;1082292;1003408;8055161274793
1040660;1082290;1003367;8055161280824
1040660;1082290;1003368;8055161280831
1040660;1082290;1003369;8055161280848
1040660;1082290;1003370;8055161280855
1040660;1082290;1003398;8055161280862
1040660;1082290;1003399;8055161280879
1040660;1082290;1003400;8055161280886
1040660;1082290;1003401;8055161280893
1040660;1082290;1003402;8055161280909
1040660;1082290;1003403;8055161280916
1040660;1082290;1003404;8055161280923
1040660;1082290;1003405;8055161280930
1040660;1082290;1003406;8055161280947
1040660;1082290;1003407;8055161280954
1040660;1082290;1003408;8055161280961
1040660;1082287;1003367;8055161258106
1040660;1082287;1003368;8055161258113
1040660;1082287;1003369;8055161258120
1040660;1082287;1003370;8055161258137
1040660;1082287;1003398;8055161258144
1040660;1082287;1003399;8055161258151
1040660;1082287;1003400;8055161258168
1040660;1082287;1003401;8055161258175
1040660;1082287;1003402;8055161258182
1040660;1082287;1003403;8055161258199
1040660;1082287;1003404;8055161258205
1040660;1082287;1003405;8055161258212
1040660;1082287;1003406;8055161258229
1040660;1082287;1003407;8055161258236
1040660;1082287;1003408;8055161258243
1040660;1082289;1003367;8055161252685
1040660;1082289;1003368;8055161252692
1040660;1082289;1003369;8055161252708
1040660;1082289;1003370;8055161252715
1040660;1082289;1003398;8055161252722
1040660;1082289;1003399;8055161252739
1040660;1082289;1003400;8055161252746
1040660;1082289;1003401;8055161252753
1040660;1082289;1003402;8055161252760
1040660;1082289;1003403;8055161252777
1040660;1082289;1003404;8055161252784
1040660;1082289;1003405;8055161252791
1040660;1082289;1003406;8055161252807
1040660;1082289;1003407;8055161252814
1040660;1082289;1003408;8055161252821
1040660;1082293;1003367;8055161300171
1040660;1082293;1003368;8055161300188
1040660;1082293;1003369;8055161300195
1040660;1082293;1003370;8055161300201
1040660;1082293;1003398;8055161300218
1040660;1082293;1003399;8055161300225
1040660;1082293;1003400;8055161300232
1040660;1082293;1003401;8055161300249
1040660;1082293;1003402;8055161300256
1040660;1082293;1003403;8055161300263
1040660;1082293;1003404;8055161300270
1040660;1082293;1003405;8055161300287
1040660;1082293;1003406;8055161300294
1040660;1082293;1003407;8055161300300
1040660;1082293;1003408;8055161300317
1040660;1082285;1003367;8055161263162
1040660;1082285;1003368;8055161263179
1040660;1082285;1003369;8055161263186
1040660;1082285;1003370;8055161263193
1040660;1082285;1003398;8055161263209
1040660;1082285;1003399;8055161263216
1040660;1082285;1003400;8055161263223
1040660;1082285;1003401;8055161263230
1040660;1082285;1003402;8055161263247
1040660;1082285;1003403;8055161263254
1040660;1082285;1003404;8055161263261
1040660;1082285;1003405;8055161263278
1040660;1082285;1003406;8055161263285
1040660;1082285;1003407;8055161263292
1040660;1082285;1003408;8055161263308
1040660;1082626;1003367;8055161255884
1040660;1082626;1003368;8055161255891
1040660;1082626;1003369;8055161255907
1040660;1082626;1003370;8055161255914
1040660;1082626;1003398;8055161255921
1040660;1082626;1003399;8055161255938
1040660;1082626;1003400;8055161255945
1040660;1082626;1003401;8055161255952
1040660;1082626;1003402;8055161255969
1040660;1082626;1003403;8055161255976
1040660;1082626;1003404;8055161255983
1040660;1082626;1003405;8055161255990
1040660;1082626;1003406;8055161256003
1040660;1082626;1003407;8055161256010
1040660;1082626;1003408;8055161256027
1040663;1082304;1003367;8055161296221
1040663;1082304;1003368;8055161296238
1040663;1082304;1003369;8055161296245
1040663;1082304;1003370;8055161296252
1040663;1082304;1003398;8055161296269
1040663;1082304;1003399;8055161296276
1040663;1082304;1003400;8055161296283
1040663;1082304;1003401;8055161296290
1040663;1082304;1003402;8055161296306
1040663;1082304;1003403;8055161296313
1040663;1082304;1003404;8055161296320
1040663;1082304;1003405;8055161296337
1040663;1082304;1003406;8055161296344
1040663;1082304;1003407;8055161296351
1040663;1082304;1003408;8055161296368
1040663;1082302;1003367;8055161301642
1040663;1082302;1003368;8055161301659
1040663;1082302;1003369;8055161301666
1040663;1082302;1003370;8055161301673
1040663;1082302;1003398;8055161301680
1040663;1082302;1003399;8055161301697
1040663;1082302;1003400;8055161301703
1040663;1082302;1003401;8055161301710
1040663;1082302;1003402;8055161301727
1040663;1082302;1003403;8055161301734
1040663;1082302;1003404;8055161301741
1040663;1082302;1003405;8055161301758
1040663;1082302;1003406;8055161301765
1040663;1082302;1003407;8055161301772
1040663;1082302;1003408;8055161301789
1040662;1083124;1003367;8055161450340
1040662;1083124;1003369;8055161450357
1040662;1083124;1003370;8055161450364
1040662;1083124;1003398;8055161450371
1040662;1083124;1003399;8055161450388
1040662;1083124;1003400;8055161450395
1040662;1083124;1003401;8055161450401
1040662;1083124;1003402;8055161450418
1040662;1083124;1003403;8055161450425
1040662;1083124;1003404;8055161450432
1040662;1083124;1003406;8055161450449
1040662;1083124;1003408;8055161450456
1040661;1082296;1003367;8055161261014
1040661;1082296;1003368;8055161261021
1040661;1082296;1003369;8055161261038
1040661;1082296;1003370;8055161261045
1040661;1082296;1003398;8055161261052
1040661;1082296;1003399;8055161261069
1040661;1082296;1003400;8055161261076
1040661;1082296;1003401;8055161261083
